Object,v_baryon^2 [m^2/s^2],v_baryon [km/s],C,M5 [kg],Alpha
Draco,1297795.9928989743,1139.2084940426728,2.172444594401427e-30,1.3749589047144483e+38,229.15981745240805
Milky Way,32257854974.997787,179604.71868800605,-,-,-
NGC 3198,8602094659.99941,92747.47791718872,-,-,-
