r_kpc,v_km_s,sigma_km_s,r_m,v_m_s,sigma_m_s
8.9200001,92.1745682,,2.7524244331087754e+20,92174.5682,
8.9399996,92.0769348,,2.758595633986897e+20,92076.9348,
8.96,91.979599,,2.7647671125760003e+20,91979.59899999999,
8.9799995,91.8825607,,2.7709383134541208e+20,91882.5607,
9.0,91.78582,,2.7771098229e+20,91785.82,
9.0199995,91.6893845,,2.783281023778121e+20,91689.3845,
9.04,91.5932388,,2.7894525332239997e+20,91593.23879999999,
9.0599995,91.4973831,,2.795623734102121e+20,91497.38309999999,
9.0799999,91.4018097,,2.8017952126912243e+20,91401.8097,
9.0999994,91.3065414,,2.807966413569345e+20,91306.5414,
9.1199999,91.2115402,,2.8141379230152242e+20,91211.5402,
9.1399994,91.1168365,,2.8203091238933453e+20,91116.8365,
9.1599998,91.0224228,,2.826480602482448e+20,91022.4228,
9.1799994,90.9282837,,2.832651834217345e+20,90928.2837,
9.1999998,90.8344269,,2.8388233128064483e+20,90834.42689999999,
9.2200003,90.7408524,,2.8449948222523274e+20,90740.85239999999,
9.2399998,90.6475754,,2.8511660231304482e+20,90647.57539999999,
9.2600002,90.5545578,,2.8573375017195517e+20,90554.5578,
9.2799997,90.4618149,,2.863508702597672e+20,90461.8149,
9.3000002,90.3693466,,2.8696802120435512e+20,90369.3466,
9.3199997,90.2771606,,2.8758514129216727e+20,90277.1606,
9.3400002,90.1852493,,2.8820229223675517e+20,90185.2493,
9.3599997,90.093605,,2.8881941232456722e+20,90093.605,
9.3800001,90.0022202,,2.8943656018347757e+20,90002.2202,
9.3999996,89.9111252,,2.9005368027128965e+20,89911.1252,
9.4200001,89.820282,,2.9067083121587755e+20,89820.282,
9.4399996,89.7297134,,2.9128795130368967e+20,89729.7134,
9.46,89.6394043,,2.919050991626e+20,89639.4043,
9.4799995,89.5493622,,2.925222192504121e+20,89549.3622,
9.5,89.4595795,,2.93139370195e+20,89459.5795,
9.5199995,89.3700562,,2.937564902828121e+20,89370.05619999999,
9.54,89.2807999,,2.9437364122739995e+20,89280.7999,
9.5599995,89.1917953,,2.949907613152121e+20,89191.7953,
9.5799999,89.1030579,,2.9560790917412245e+20,89103.0579,
9.5999994,89.0145645,,2.962250292619345e+20,89014.56450000001,
9.6199999,88.9263382,,2.968421802065224e+20,88926.3382,
9.6399994,88.838356,,2.9745930029433455e+20,88838.356,
9.6599998,88.7506332,,2.980764481532448e+20,88750.6332,
9.6799994,88.6631622,,2.986935713267345e+20,88663.1622,
9.6999998,88.575943,,2.993107191856448e+20,88575.943,
9.7199993,88.4889679,,2.999278392734569e+20,88488.9679,
9.7399998,88.4022369,,3.0054499021804483e+20,88402.2369,
9.7600002,88.3157654,,3.0116213807695515e+20,88315.7654,
9.7799997,88.2295303,,3.017792581647672e+20,88229.5303,
9.8000002,88.1435471,,3.023964091093552e+20,88143.54710000001,
9.8199997,88.0578003,,3.0301352919716725e+20,88057.8003,
9.8400002,87.9722977,,3.036306801417552e+20,87972.2977,
9.8599997,87.8870316,,3.042478002295672e+20,87887.0316,
9.8800001,87.8020096,,3.048649480884776e+20,87802.0096,
9.8999996,87.7172318,,3.0548206817628966e+20,87717.2318,
9.9200001,87.6326828,,3.0609921912087754e+20,87632.6828,
9.9399996,87.5483856,,3.067163392086897e+20,87548.38560000001,
9.96,87.4643021,,3.073334870676e+20,87464.3021,
9.9799995,87.3804703,,3.079506071554121e+20,87380.4703,
10.0,87.2968597,,3.085677581e+20,87296.8597,
10.0199995,87.2134857,,3.091848781878121e+20,87213.4857,
10.04,87.1303482,,3.098020291324e+20,87130.3482,
10.0599995,87.0474472,,3.104191492202121e+20,87047.4472,
10.0799999,86.9647751,,3.110362970791224e+20,86964.7751,
10.0999994,86.8823166,,3.116534171669345e+20,86882.31659999999,
10.1199999,86.800087,,3.122705681115224e+20,86800.087,
10.1399994,86.7180939,,3.128876881993345e+20,86718.09389999999,
10.1599998,86.636322,,3.1350483605824484e+20,86636.322,
10.1799994,86.5547714,,3.141219592317345e+20,86554.77140000001,
10.1999998,86.4734497,,3.1473910709064486e+20,86473.4497,
10.2199993,86.3923492,,3.1535622717845694e+20,86392.3492,
10.2399998,86.3114624,,3.159733781230448e+20,86311.46239999999,
10.2600002,86.2307968,,3.165905259819552e+20,86230.7968,
10.2799997,86.1503601,,3.172076460697672e+20,86150.3601,
10.3000002,86.0701294,,3.1782479701435515e+20,86070.1294,
10.3199997,85.9901276,,3.184419171021672e+20,85990.12759999999,
10.3400002,85.9103394,,3.190590680467552e+20,85910.3394,
10.3599997,85.8307724,,3.1967618813456725e+20,85830.7724,
10.3800001,85.7514114,,3.2029333599347756e+20,85751.4114,
10.3999996,85.6722565,,3.2091045608128964e+20,85672.2565,
10.4200001,85.5933304,,3.215276070258776e+20,85593.3304,
10.4399996,85.5146103,,3.2214472711368966e+20,85514.6103,
10.46,85.4360962,,3.2276187497260004e+20,85436.0962,
10.4799995,85.3577881,,3.2337899506041206e+20,85357.78809999999,
10.5,85.2797012,,3.23996146005e+20,85279.70120000001,
10.5199995,85.2018204,,3.2461326609281214e+20,85201.8204,
10.54,85.1241455,,3.2523041703739995e+20,85124.1455,
10.5599995,85.0466766,,3.258475371252121e+20,85046.67659999999,
10.5799999,84.9694061,,3.264646849841224e+20,84969.40610000001,
10.5999994,84.8923492,,3.270818050719345e+20,84892.3492,
10.6199999,84.8154831,,3.276989560165224e+20,84815.4831,
10.6399994,84.7388382,,3.283160761043345e+20,84738.8382,
10.6599998,84.6623764,,3.289332239632448e+20,84662.3764,
10.6799994,84.5861282,,3.295503471367345e+20,84586.1282,
10.6999998,84.5100708,,3.3016749499564484e+20,84510.07079999999,
10.7199993,84.4342194,,3.307846150834569e+20,84434.2194,
10.7399998,84.3585663,,3.314017660280448e+20,84358.5663,
10.7600002,84.2831116,,3.320189138869552e+20,84283.1116,
10.7799997,84.2078476,,3.3263603397476726e+20,84207.8476,
10.8000002,84.132782,,3.332531849193551e+20,84132.782,
10.8199997,84.0579071,,3.338703050071673e+20,84057.9071,
10.8400002,83.9832382,,3.3448745595175515e+20,83983.2382,
10.8599997,83.9087601,,3.351045760395672e+20,83908.7601,
10.8800001,83.834465,,3.3572172389847754e+20,83834.465,
10.8999996,83.7603683,,3.363388439862896e+20,83760.3683,
10.9200001,83.6864624,,3.3695599493087756e+20,83686.46239999999,
10.9399996,83.6127396,,3.3757311501868964e+20,83612.7396,
10.96,83.5392227,,3.381902628776e+20,83539.2227,
10.9799995,83.4658813,,3.388073829654121e+20,83465.88130000001,
11.0,83.3927307,,3.3942453391e+20,83392.7307,
11.0199995,83.3197708,,3.400416539978121e+20,83319.7708,
11.04,83.246994,,3.406588049423999e+20,83246.994,
11.0599995,83.1744003,,3.412759250302121e+20,83174.40030000001,
11.0799999,83.1019897,,3.4189307288912246e+20,83101.9897,
11.0999994,83.0297699,,3.425101929769345e+20,83029.7699,
11.1199999,82.9577255,,3.431273439215224e+20,82957.7255,
11.1399994,82.8858719,,3.4374446400933455e+20,82885.8719,
11.1599998,82.8141861,,3.443616118682448e+20,82814.1861,
11.1799994,82.7426987,,3.449787350417345e+20,82742.69870000001,
11.1999998,82.6713791,,3.455958829006448e+20,82671.37909999999,
11.2199993,82.6002426,,3.462130029884569e+20,82600.2426,
11.2399998,82.5292816,,3.4683015393304484e+20,82529.2816,
11.2599993,82.4585037,,3.474472740208569e+20,82458.5037,
11.2799997,82.3879013,,3.4806442187976724e+20,82387.9013,
11.3000002,82.3174744,,3.486815728243551e+20,82317.47439999999,
11.3199997,82.2472305,,3.4929869291216726e+20,82247.2305,
11.3400002,82.1771469,,3.499158438567552e+20,82177.14689999999,
11.3599997,82.107254,,3.505329639445672e+20,82107.254,
11.3800001,82.0375214,,3.511501118034776e+20,82037.5214,
11.3999996,81.9679718,,3.517672318912897e+20,81967.9718,
11.4200001,81.8985901,,3.5238438283587754e+20,81898.5901,
11.4399996,81.8293762,,3.530015029236897e+20,81829.3762,
11.46,81.7603378,,3.536186507826e+20,81760.33780000001,
11.4799995,81.6914673,,3.542357708704121e+20,81691.4673,
11.5,81.6227646,,3.5485292181499996e+20,81622.7646,
11.5199995,81.5542297,,3.554700419028121e+20,81554.2297,
11.54,81.4858704,,3.560871928474e+20,81485.8704,
11.5599995,81.4176788,,3.5670431293521206e+20,81417.67880000001,
11.5799999,81.3496475,,3.5732146079412244e+20,81349.6475,
11.5999994,81.2817841,,3.579385808819345e+20,81281.78409999999,
11.6199999,81.2140808,,3.585557318265224e+20,81214.08080000001,
11.6399994,81.1465454,,3.5917285191433454e+20,81146.54539999999,
11.6599998,81.0791702,,3.597899997732448e+20,81079.1702,
11.6799994,81.0119705,,3.604071229467345e+20,81011.97050000001,
11.6999998,80.9449234,,3.610242708056449e+20,80944.9234,
11.7199993,80.8780441,,3.616413908934569e+20,80878.0441,
11.7399998,80.8113251,,3.622585418380448e+20,80811.3251,
11.7599993,80.7447662,,3.62875661925857e+20,80744.7662,
11.7799997,80.6783676,,3.634928097847672e+20,80678.3676,
11.8000002,80.6121216,,3.6410996072935516e+20,80612.1216,
11.8199997,80.5460434,,3.6472708081716724e+20,80546.0434,
11.8400002,80.4801178,,3.653442317617552e+20,80480.1178,
11.8599997,80.4143524,,3.6596135184956726e+20,80414.3524,
11.8800001,80.3487473,,3.665784997084776e+20,80348.7473,
11.8999996,80.2832947,,3.6719561979628965e+20,80283.2947,
11.9200001,80.2180023,,3.678127707408775e+20,80218.0023,
11.9399996,80.1528625,,3.684298908286897e+20,80152.8625,
11.96,80.0878754,,3.690470386876e+20,80087.8754,
11.9799995,80.0230408,,3.6966415877541206e+20,80023.0408,
12.0,79.9583664,,3.7028130972e+20,79958.3664,
12.0199995,79.893837,,3.708984298078121e+20,79893.837,
12.04,79.8294678,,3.7151558075239996e+20,79829.4678,
12.0599995,79.7652512,,3.721327008402121e+20,79765.2512,
12.0799999,79.7011795,,3.727498486991224e+20,79701.1795,
12.0999994,79.6372681,,3.733669687869345e+20,79637.2681,
12.1199999,79.5734863,,3.739841197315224e+20,79573.4863,
12.1399994,79.5098648,,3.746012398193345e+20,79509.8648,
12.1599998,79.4463959,,3.752183876782448e+20,79446.3959,
12.1799994,79.3830719,,3.758355108517345e+20,79383.07190000001,
12.1999998,79.3199005,,3.7645265871064485e+20,79319.9005,
12.2199993,79.2568741,,3.770697787984569e+20,79256.8741,
12.2399998,79.1939926,,3.776869297430448e+20,79193.9926,
12.2599993,79.1312561,,3.7830404983085695e+20,79131.2561,
12.2799997,79.0686646,,3.789211976897672e+20,79068.6646,
12.3000002,79.006218,,3.7953834863435514e+20,79006.21800000001,
12.3199997,78.9439087,,3.801554687221673e+20,78943.9087,
12.3400002,78.8817596,,3.8077261966675516e+20,78881.75959999999,
12.3599997,78.8197479,,3.8138973975456724e+20,78819.7479,
12.3800001,78.7578735,,3.8200688761347755e+20,78757.8735,
12.3999996,78.6961365,,3.826240077012896e+20,78696.1365,
12.4200001,78.6345596,,3.832411586458776e+20,78634.55960000001,
12.4399996,78.5731125,,3.8385827873368965e+20,78573.11249999999,
12.46,78.5118027,,3.844754265926e+20,78511.8027,
12.4799995,78.4506378,,3.850925466804121e+20,78450.6378,
