r_kpc,v_km_s,sigma_km_s,r_m,v_m_s,sigma_m_s
15.4399996,70.6993256,,4.764286061636897e+20,70699.3256,
15.46,70.6543732,,4.770457540226e+20,70654.3732,
15.4799995,70.6095047,,4.7766287411041206e+20,70609.5047,
15.5,70.5647125,,4.78280025055e+20,70564.7125,
15.5199995,70.5200195,,4.788971451428121e+20,70520.01950000001,
15.54,70.4753952,,4.7951429608739996e+20,70475.3952,
15.5599995,70.4308624,,4.801314161752121e+20,70430.8624,
15.5799999,70.3864059,,4.807485640341224e+20,70386.4059,
15.5999994,70.3420334,,4.813656841219345e+20,70342.0334,
15.6199999,70.2977448,,4.819828350665224e+20,70297.7448,
15.6399994,70.25354,,4.825999551543345e+20,70253.54000000001,
15.6599998,70.2094193,,4.832171030132448e+20,70209.4193,
15.6799994,70.1653748,,4.838342261867345e+20,70165.37479999999,
15.6999998,70.1214142,,4.8445137404564485e+20,70121.4142,
15.7199993,70.0775299,,4.850684941334569e+20,70077.52990000001,
15.7399998,70.0337296,,4.856856450780448e+20,70033.7296,
15.7599993,69.9900131,,4.8630276516585695e+20,69990.0131,
15.7799997,69.9463654,,4.869199130247672e+20,69946.36540000001,
15.7999992,69.9028168,,4.8753703311257934e+20,69902.8168,
15.8199997,69.8593369,,4.881541840571673e+20,69859.33690000001,
15.8399992,69.8159409,,4.887713041449793e+20,69815.9409,
15.8599997,69.7726212,,4.8938845508956724e+20,69772.62120000001,
15.8800001,69.7293777,,4.9000560294847755e+20,69729.3777,
15.8999996,69.6862183,,4.906227230362896e+20,69686.2183,
15.9200001,69.6431351,,4.912398739808776e+20,69643.1351,
15.9399996,69.6001282,,4.9185699406868965e+20,69600.1282,
15.96,69.5572052,,4.924741419276e+20,69557.2052,
15.9799995,69.5143509,,4.9309126201541204e+20,69514.35089999999,
16.0,69.4715881,,4.9370841296e+20,69471.58810000001,
16.0200005,69.428894,,4.9432556390458786e+20,69428.894,
16.039999,69.3862839,,4.949426531356242e+20,69386.2839,
16.0599995,69.3437424,,4.955598040802121e+20,69343.7424,
16.0799999,69.3012772,,4.961769519391224e+20,69301.2772,
16.1000004,69.2588882,,4.967941028837103e+20,69258.8882,
16.1199989,69.2165833,,4.9741119211474656e+20,69216.5833,
16.1399994,69.1743546,,4.980283430593345e+20,69174.3546,
16.1599998,69.1321945,,4.986454909182449e+20,69132.1945,
16.1800003,69.0901184,,4.992626418628327e+20,69090.11839999999,
16.1999989,69.048111,,4.998797341795466e+20,69048.111,
16.2199993,69.0061874,,5.00496882038457e+20,69006.1874,
16.2399998,68.964325,,5.011140329830448e+20,68964.325,
16.2600002,68.9225464,,5.0173118084195516e+20,68922.5464,
16.2799988,68.8808441,,5.023482731586691e+20,68880.8441,
16.2999992,68.8392105,,5.0296542101757926e+20,68839.21049999999,
16.3199997,68.7976532,,5.0358257196216726e+20,68797.6532,
16.3400002,68.7561646,,5.041997229067551e+20,68756.1646,
16.3599987,68.7147598,,5.0481681213779136e+20,68714.7598,
16.3799992,68.6734238,,5.0543396308237936e+20,68673.42379999999,
16.3999996,68.632164,,5.060511109412897e+20,68632.164,
16.4200001,68.5909729,,5.0666826188587755e+20,68590.9729,
16.4400005,68.5498581,,5.0728540974478787e+20,68549.8581,
16.4599991,68.508812,,5.079025020615018e+20,68508.812,
16.4799995,68.4678345,,5.0851964992041216e+20,68467.8345,
16.5,68.4269409,,5.0913680086499996e+20,68426.9409,
16.5200005,68.386116,,5.0975395180958784e+20,68386.116,
16.539999,68.3453598,,5.1037104104062425e+20,68345.35979999999,
16.5599995,68.3046722,,5.1098819198521206e+20,68304.6722,
16.5799999,68.264061,,5.1160533984412244e+20,68264.061,
16.6000004,68.2235184,,5.1222249078871025e+20,68223.5184,
16.6199989,68.1830521,,5.1283958001974654e+20,68183.0521,
16.6399994,68.1426468,,5.1345673096433454e+20,68142.64679999999,
16.6599998,68.1023178,,5.1407387882324486e+20,68102.31779999999,
16.6800003,68.0620575,,5.146910297678327e+20,68062.0575,
16.6999989,68.0218735,,5.1530812208454664e+20,68021.8735,
16.7199993,67.9817505,,5.1592526994345696e+20,67981.75050000001,
16.7399998,67.9417038,,5.165424208880448e+20,67941.7038,
16.7600002,67.9017258,,5.1715956874695515e+20,67901.7258,
16.7799988,67.8618164,,5.1777666106366906e+20,67861.8164,
16.7999992,67.8219681,,5.183938089225793e+20,67821.96810000001,
16.8199997,67.782196,,5.1901095986716724e+20,67782.196,
16.8400002,67.7424927,,5.196281108117551e+20,67742.4927,
16.8599987,67.7028656,,5.202452000427914e+20,67702.86559999999,
16.8799992,67.6632996,,5.2086235098737934e+20,67663.2996,
16.8999996,67.6238022,,5.2147949884628966e+20,67623.8022,
16.9200001,67.5843658,,5.220966497908775e+20,67584.3658,
16.9400005,67.5450058,,5.227137976497879e+20,67545.0058,
16.9599991,67.5057068,,5.2333088996650176e+20,67505.7068,
16.9799995,67.4664841,,5.2394803782541214e+20,67466.4841,
17.0,67.4273224,,5.2456518877e+20,67427.32239999999,
17.0200005,67.3882294,,5.251823397145878e+20,67388.2294,
17.039999,67.349205,,5.2579942894562424e+20,67349.205,
17.0599995,67.3102493,,5.2641657989021204e+20,67310.2493,
17.0799999,67.2713547,,5.270337277491224e+20,67271.3547,
17.1000004,67.2325287,,5.276508786937103e+20,67232.52870000001,
17.1199989,67.1937637,,5.282679679247466e+20,67193.76370000001,
17.1399994,67.1550674,,5.288851188693345e+20,67155.0674,
17.1599998,67.1164398,,5.2950226672824484e+20,67116.4398,
17.1800003,67.0778732,,5.301194176728327e+20,67077.8732,
17.1999989,67.0393753,,5.307365099895466e+20,67039.3753,
17.2199993,67.000946,,5.3135365784845694e+20,67000.946,
17.2399998,66.9625778,,5.319708087930448e+20,66962.5778,
17.2600002,66.9242706,,5.325879566519551e+20,66924.2706,
17.2799988,66.8860321,,5.3320504896866904e+20,66886.0321,
17.2999992,66.8478622,,5.338221968275793e+20,66847.86219999999,
17.3199997,66.8097458,,5.344393477721672e+20,66809.7458,
17.3400002,66.771698,,5.350564987167551e+20,66771.698,
17.3599987,66.7337189,,5.356735879477914e+20,66733.71889999999,
17.3799992,66.6958008,,5.362907388923793e+20,66695.8008,
17.3999996,66.6579437,,5.369078867512897e+20,66657.9437,
17.4200001,66.6201553,,5.375250376958775e+20,66620.1553,
17.4400005,66.5824203,,5.381421855547879e+20,66582.4203,
17.4599991,66.5447617,,5.387592778715018e+20,66544.76169999999,
17.4799995,66.5071564,,5.393764257304121e+20,66507.15639999999,
17.5,66.4696198,,5.39993576675e+20,66469.6198,
17.5200005,66.4321365,,5.4061072761958787e+20,66432.1365,
17.539999,66.3947296,,5.412278168506242e+20,66394.7296,
17.5599995,66.3573761,,5.418449677952121e+20,66357.3761,
17.5799999,66.3200836,,5.424621156541224e+20,66320.0836,
17.6000004,66.2828522,,5.430792665987103e+20,66282.8522,
17.6199989,66.2456894,,5.4369635582974657e+20,66245.6894,
17.6399994,66.20858,,5.443135067743345e+20,66208.58,
17.6599998,66.1715317,,5.449306546332449e+20,66171.5317,
17.6800003,66.134552,,5.455478055778327e+20,66134.552,
17.6999989,66.0976334,,5.461648978945466e+20,66097.6334,
17.7199993,66.0607681,,5.46782045753457e+20,66060.7681,
17.7399998,66.0239716,,5.473991966980448e+20,66023.97159999999,
17.7600002,65.9872284,,5.480163445569552e+20,65987.2284,
17.7799988,65.9505463,,5.486334368736691e+20,65950.5463,
17.7999992,65.9139252,,5.4925058473257927e+20,65913.9252,
17.8199997,65.8773651,,5.498677356771673e+20,65877.36510000001,
17.8400002,65.8408585,,5.504848866217551e+20,65840.8585,
17.8599987,65.8044281,,5.5110197585279137e+20,65804.42809999999,
17.8799992,65.7680435,,5.517191267973794e+20,65768.0435,
17.8999996,65.73172,,5.523362746562897e+20,65731.72,
17.9200001,65.6954575,,5.5295342560087756e+20,65695.4575,
17.9400005,65.6592484,,5.535705734597879e+20,65659.2484,
17.9599991,65.6231155,,5.541876657765018e+20,65623.1155,
17.9799995,65.5870209,,5.548048136354121e+20,65587.0209,
18.0,65.5509949,,5.5542196458e+20,65550.9949,
18.0200005,65.5150299,,5.5603911552458785e+20,65515.0299,
18.039999,65.4791183,,5.566562047556242e+20,65479.118299999995,
18.0599995,65.4432678,,5.572733557002121e+20,65443.2678,
18.0799999,65.4074631,,5.5789050355912245e+20,65407.4631,
18.1000004,65.371727,,5.5850765450371026e+20,65371.727000000006,
18.1199989,65.3360519,,5.5912474373474655e+20,65336.0519,
18.1399994,65.3004303,,5.597418946793345e+20,65300.4303,
18.1599998,65.2648621,,5.6035904253824487e+20,65264.8621,
18.1800003,65.2293549,,5.6097619348283274e+20,65229.354900000006,
18.1999989,65.1939011,,5.615932857995466e+20,65193.9011,
18.2199993,65.1585083,,5.6221043365845697e+20,65158.508299999994,
18.2399998,65.1231766,,5.6282758460304484e+20,65123.17659999999,
18.2600002,65.0878906,,5.6344473246195515e+20,65087.89059999999,
18.2799988,65.0526733,,5.6406182477866906e+20,65052.673299999995,
18.2999992,65.0175018,,5.646789726375793e+20,65017.501800000005,
18.3199997,64.9823837,,5.6529612358216725e+20,64982.3837,
18.3400002,64.9473267,,5.659132745267551e+20,64947.326700000005,
18.3599987,64.9123306,,5.665303637577914e+20,64912.3306,
18.3799992,64.877388,,5.6714751470237935e+20,64877.388,
18.3999996,64.8424911,,5.6776466256128967e+20,64842.49110000001,
18.4200001,64.8076553,,5.6838181350587754e+20,64807.65529999999,
18.4400005,64.7728729,,5.6899896136478786e+20,64772.872899999995,
18.4599991,64.7381592,,5.6961605368150177e+20,64738.1592,
18.4799995,64.7034836,,5.7023320154041215e+20,64703.4836,
18.5,64.668869,,5.7085035248499995e+20,64668.869,
18.5200005,64.6343155,,5.714675034295878e+20,64634.3155,
18.539999,64.5998077,,5.7208459266062424e+20,64599.8077,
18.5599995,64.5653534,,5.7270174360521205e+20,64565.35340000001,
18.5799999,64.5309601,,5.7331889146412243e+20,64530.960100000004,
18.6000004,64.4966125,,5.7393604240871024e+20,64496.612499999996,
18.6199989,64.462326,,5.745531316397465e+20,64462.326,
18.6399994,64.428093,,5.751702825843345e+20,64428.093,
18.6599998,64.3939133,,5.7578743044324485e+20,64393.91329999999,
18.6800003,64.359787,,5.764045813878327e+20,64359.787,
18.6999989,64.3257141,,5.770216737045466e+20,64325.7141,
18.7199993,64.291687,,5.7763882156345695e+20,64291.687,
18.7399998,64.2577209,,5.782559725080448e+20,64257.72089999999,
18.7600002,64.2238083,,5.7887312036695513e+20,64223.808300000004,
18.7799988,64.1899414,,5.7949021268366905e+20,64189.941399999996,
18.7999992,64.1561356,,5.801073605425793e+20,64156.1356,
18.8199997,64.1223755,,5.8072451148716723e+20,64122.3755,
18.8400002,64.0886688,,5.813416624317551e+20,64088.66879999999,
18.8599987,64.0550232,,5.819587516627914e+20,64055.023199999996,
18.8799992,64.0214233,,5.8257590260737933e+20,64021.423299999995,
18.8999996,63.9878731,,5.831930504662897e+20,63987.873100000004,
18.9200001,63.9543762,,5.838102014108775e+20,63954.3762,
18.9399986,63.9209366,,5.844272906419138e+20,63920.9366,
18.9599991,63.8875389,,5.850444415865018e+20,63887.5389,
18.9799995,63.8541985,,5.856615894454121e+20,63854.198500000006,
19.0,63.8209038,,5.8627874039e+20,63820.9038,
19.0200005,63.7876663,,5.868958913345878e+20,63787.6663,
19.039999,63.7544785,,5.875129805656242e+20,63754.4785,
19.0599995,63.721344,,5.881301315102121e+20,63721.344000000005,
19.0799999,63.6882515,,5.887472793691224e+20,63688.2515,
19.1000004,63.6552124,,5.893644303137103e+20,63655.212400000004,
19.1199989,63.6222305,,5.899815195447466e+20,63622.2305,
19.1399994,63.5892982,,5.905986704893346e+20,63589.298200000005,
19.1599998,63.5564079,,5.912158183482449e+20,63556.407900000006,
19.1800003,63.523571,,5.918329692928327e+20,63523.570999999996,
19.1999989,63.4907875,,5.924500616095465e+20,63490.787500000006,
19.2199993,63.4580498,,5.93067209468457e+20,63458.0498,
19.2399998,63.4253616,,5.936843604130448e+20,63425.361600000004,
19.2600002,63.3927269,,5.943015082719551e+20,63392.7269,
19.2799988,63.3601418,,5.949186005886691e+20,63360.1418,
19.2999992,63.3276062,,5.955357484475793e+20,63327.606199999995,
19.3199997,63.2951126,,5.961528993921672e+20,63295.1126,
19.3400002,63.2626762,,5.967700503367552e+20,63262.6762,
19.3599987,63.2302856,,5.973871395677914e+20,63230.2856,
19.3799992,63.1979408,,5.980042905123793e+20,63197.9408,
19.3999996,63.1656456,,5.986214383712896e+20,63165.645599999996,
19.4200001,63.1334,,5.992385893158776e+20,63133.4,
19.4399986,63.1012039,,5.998556785469138e+20,63101.2039,
19.4599991,63.0690536,,6.004728294915017e+20,63069.0536,
19.4799995,63.036953,,6.010899773504122e+20,63036.952999999994,
19.5,63.0049019,,6.01707128295e+20,63004.9019,
19.5200005,62.9728928,,6.023242792395878e+20,62972.892799999994,
19.539999,62.9409409,,6.029413684706243e+20,62940.9409,
19.5599995,62.9090309,,6.035585194152121e+20,62909.0309,
19.5799999,62.8771667,,6.041756672741224e+20,62877.166699999994,
19.6000004,62.8453522,,6.047928182187103e+20,62845.3522,
19.6199989,62.813591,,6.054099074497466e+20,62813.591,
19.6399994,62.781868,,6.060270583943345e+20,62781.868,
19.6599998,62.7501945,,6.066442062532448e+20,62750.1945,
19.6800003,62.7185707,,6.072613571978327e+20,62718.570700000004,
19.6999989,62.6869926,,6.078784495145466e+20,62686.992600000005,
19.7199993,62.6554604,,6.084955973734569e+20,62655.4604,
19.7399998,62.62397,,6.091127483180448e+20,62623.97,
19.7600002,62.5925255,,6.097298961769552e+20,62592.5255,
19.7799988,62.5611343,,6.10346988493669e+20,62561.1343,
19.7999992,62.529789,,6.109641363525793e+20,62529.789000000004,
