r_kpc,v_km_s,sigma_km_s,r_m,v_m_s,sigma_m_s
0.0822150567456246,19.474633734281596,19.474633734281596,2.5368915742061665e+18,19474.633734281597,19474.633734281597
0.1867512798426248,40.02327011433475,40.02327011433475,5.762542374334446e+18,40023.27011433475,40023.27011433475
0.3654966373779494,59.36041707684111,59.36041707684111,1.127804779888025e+19,59360.417076841106,59360.417076841106
0.8471793350036319,91.45965138951222,91.45965138951222,2.614122281107195e+19,91459.65138951222,91459.65138951222
1.9513631474164224,98.85197146292684,98.85197146292684,6.021277516372452e+19,98851.97146292684,98851.97146292684
